NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Gália,1831,531,1413,877,65,7,985,1108,219,51,1618,716,27
Garça,12349,1143,7391,5371,706,24,5652,6306,1168,366,10948,2477,67
GastãoVidigal,1137,140,704,435,131,7,519,557,117,84,911,359,6
GaviãoPeixoto,1097,237,521,653,156,4,414,689,173,57,915,403,16
GeneralSalgado,3063,546,2241,1274,94,0,1647,1714,205,43,2957,623,29
Getulina,2645,395,1599,1221,213,7,1256,1399,292,93,2179,851,10
Glicério,1055,369,752,598,71,4,439,813,138,33,921,487,16
Guaiçara,2933,314,1526,1483,222,15,1142,1596,324,184,2312,927,7
Guaimbê,1466,216,830,744,101,7,628,822,175,57,1251,421,10
Guaíra,11513,474,6460,4908,604,14,4716,5831,1200,240,10095,1891,0
Guapiaçu,5060,673,3114,2324,281,14,2168,2784,608,173,4090,1610,33
Guapiara,2202,3186,2252,2584,523,30,1912,2540,650,287,1664,3542,183
Guará,5866,182,2907,2668,446,28,2159,2907,741,241,4599,1434,15
Guaraçaí,2266,577,1690,1046,82,26,1325,1324,147,47,2177,619,47
Guaraci,2854,315,1674,1266,229,0,1097,1585,361,126,2264,901,4
Guaranid'Oeste,624,81,446,241,17,0,357,310,34,3,580,118,8
Guarantã,1672,275,971,819,143,13,606,1068,191,82,1437,482,28
Guararapes,9279,722,5710,4022,269,0,3993,5211,647,151,8456,1535,11
Guararema,6652,1115,3210,3613,908,35,2345,3697,1231,493,3559,4186,22
Guaratinguetá,32577,1606,17879,13727,2398,179,11894,16622,4114,1553,25721,8417,45
Guareí,2599,1091,1708,1648,324,10,1309,1751,474,156,1693,1984,13
Guariba,10403,219,4496,5071,1024,32,3466,5187,1576,393,7872,2751,0
Guarujá,84921,11,33509,40554,10091,779,22918,39507,14709,7798,53704,31078,150
Guarulhos,360515,0,125657,175405,53982,5470,86582,166633,66278,41022,229497,130835,183
Guatapará,1509,540,948,912,182,6,626,1027,307,89,1286,742,20
Guzolândia,1310,222,820,635,77,0,574,774,151,33,1143,368,21
Herculândia,2555,244,1433,1257,110,0,1093,1388,279,38,2116,661,22
Holambra,2455,875,1736,1409,173,13,1212,1704,325,89,1940,1363,27
Hortolândia,55371,0,21628,28002,5423,318,14606,28930,8357,3478,22593,32777,0
Iacanga,2761,345,1750,1183,167,5,905,1835,305,61,2357,737,12
Iacri,1646,442,1189,821,78,0,906,964,172,47,1483,578,27
Iaras,868,515,583,573,199,29,458,624,199,102,641,628,114
Ibaté,8480,323,2933,4889,947,34,1988,4608,1631,576,6328,2475,0
Ibirá,3371,275,2063,1411,171,0,1510,1661,397,78,2722,899,26
Ibirarema,2001,164,1143,894,125,3,910,954,243,57,1666,470,28
Ibitinga,16112,713,8805,6994,1005,21,6520,8054,1758,492,13762,3052,11
Ibiúna,7476,13937,8933,10216,2107,157,6737,10164,3157,1355,4858,16048,508
Icém,2035,331,1222,934,208,2,990,1003,283,89,1824,541,0
Iepê,2190,266,1389,938,122,8,989,1177,253,37,1809,625,22
IgaraçudoTietê,6828,39,2582,3711,543,30,1947,3730,876,313,5600,1267,0
Igarapava,8481,496,5114,3322,520,21,3888,3949,896,244,7215,1750,11
Igaratá,2229,576,1171,1314,293,28,876,1289,456,185,1222,1583,0
Iguape,7842,1233,4248,3747,964,117,3219,3978,1095,783,5173,3646,257
IlhaComprida,3105,0,1649,1137,297,23,1245,1255,395,211,2063,1036,7
IlhaSolteira,7581,475,4823,2938,294,0,3264,4170,493,129,6750,1287,19
Ilhabela,8961,60,3451,4412,1093,65,2746,3978,1532,767,2222,6800,0
Indaiatuba,60772,561,29217,27024,4904,189,20326,30338,7643,3026,47496,13795,42
Indiana,1378,226,866,685,53,0,591,853,135,25,1026,565,13
Indiaporã,1256,166,978,427,17,0,822,545,46,9,1099,323,0
InúbiaPaulista,1034,143,670,477,30,0,554,532,84,6,938,239,0
Ipaussu,4131,194,2245,1860,216,3,1729,2010,429,156,3589,736,0
Iperó,5163,2633,2670,4114,926,86,2018,3744,1359,674,3699,4054,43
